elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
103,1,16468,0.2222057295532136,-1,0,benign
